round,round_time_s,loss_mean,accuracy_mean,fit_clients,fit_failures,eval_clients,eval_failures
1,77.80280113220215,1.8031161069869994,0.7117,10,0,10,0
2,78.13969206809998,1.2043829494052463,0.7957777777777778,9,1,9,0
3,71.14104151725769,0.8542130059666104,0.833,9,0,9,0
4,75.93444514274597,0.6798176964124044,0.8522222222222222,9,0,9,0
5,75.10763549804688,0.581953936152988,0.8652222222222222,9,0,9,0
6,71.80407381057739,0.5197584993309445,0.8746666666666667,9,0,9,0
7,69.233145236969,0.4773927761448754,0.8814444444444445,9,0,9,0
8,72.59495687484741,0.4461255239115821,0.886,9,0,9,0
9,74.41532468795776,0.4229516254531013,0.8908888888888888,9,0,9,0
10,72.59458637237549,0.404530535141627,0.8942222222222223,9,0,9,0
11,77.53042030334473,0.38966641823450726,0.8962222222222223,9,0,9,0
12,69.85096645355225,0.3770320779747433,0.8973333333333333,9,0,9,0
13,75.45725512504578,0.3666323125362396,0.8997777777777778,9,0,9,0
14,79.15652799606323,0.3581869900226593,0.9023333333333333,9,0,9,0
15,80.08614325523376,0.3577658273279667,0.900625,8,1,8,0
16,69.86386251449585,0.3512480966746807,0.901375,8,0,8,0
17,70.79963755607605,0.3450455293059349,0.902875,8,0,8,0
18,77.15551996231079,0.3393903486430645,0.905125,8,0,8,0
19,73.46366691589355,0.3350329287350178,0.90475,8,0,8,0
20,72.58455634117126,0.33046022430062294,0.9065,8,0,8,0
21,75.33023643493652,0.32587145268917084,0.906875,8,0,8,0
22,75.16008925437927,0.3222600258886814,0.90725,8,0,8,0
23,71.63655257225037,0.3196031413972378,0.909,8,0,8,0
24,68.41345453262329,0.3154882863163948,0.909125,8,0,8,0
25,72.7046492099762,0.3119938299059868,0.910125,8,0,8,0
26,71.12420654296875,0.3089701756834984,0.910875,8,0,8,0
27,71.02859616279602,0.30573131144046783,0.912875,8,0,8,0
28,71.36807608604431,0.30394574254751205,0.912875,8,0,8,0
29,69.23747730255127,0.30136263743042946,0.914125,8,0,8,0
30,69.6461193561554,0.2989189550280571,0.91475,8,0,8,0
31,68.29616665840149,0.29591284692287445,0.916625,8,0,8,0
32,68.74529218673706,0.29421672970056534,0.917,8,0,8,0
33,73.38245439529419,0.29217661917209625,0.9175,8,0,8,0
34,72.64638686180115,0.2900776155292988,0.917375,8,0,8,0
35,73.82710313796997,0.2875240631401539,0.918375,8,0,8,0
36,66.54704141616821,0.28592827171087265,0.918875,8,0,8,0
37,68.87340140342712,0.2829262316226959,0.9195,8,0,8,0
38,74.8592119216919,0.2815173715353012,0.919875,8,0,8,0
39,73.17813420295715,0.2795489002019167,0.91925,8,0,8,0
40,66.1554524898529,0.27734470553696156,0.92125,8,0,8,0
41,74.8947446346283,0.275018909946084,0.92175,8,0,8,0
42,72.1685004234314,0.2737419717013836,0.92275,8,0,8,0
43,67.64225053787231,0.2715524733066559,0.923625,8,0,8,0
44,71.37350583076477,0.27041914127767086,0.923,8,0,8,0
45,75.94355130195618,0.26796002872288227,0.925625,8,0,8,0
46,64.32127046585083,0.2662490252405405,0.92525,8,0,8,0
47,69.56414127349854,0.26463306695222855,0.925625,8,0,8,0
48,67.55780553817749,0.2637355849146843,0.92475,8,0,8,0
49,69.72887301445007,0.2619037665426731,0.926,8,0,8,0
50,71.99946594238281,0.2599418926984072,0.926375,8,0,8,0
