round,round_time_s,loss_mean,accuracy_mean,fit_clients,fit_failures,eval_clients,eval_failures
1,16.26728391647339,1.8698542594909668,0.7035,10,0,10,0
2,16.678757190704346,1.2642605423927307,0.7775,10,0,10,0
3,17.242890119552612,0.8797156929969787,0.8254,10,0,10,0
4,17.4535813331604,0.6914304018020629,0.8491,10,0,10,0
5,17.803258657455444,0.5881815135478974,0.8632,10,0,10,0
6,17.978102445602417,0.5238583475351334,0.8723,10,0,10,0
7,16.911153316497803,0.4799488842487335,0.8795,10,0,10,0
8,17.82138442993164,0.44804408550262453,0.8865,10,0,10,0
9,17.280582904815674,0.42475068271160127,0.8897,10,0,10,0
10,16.280555963516235,0.4056559294462204,0.8927,10,0,10,0
11,17.614094257354736,0.3907173424959183,0.8953,10,0,10,0
12,16.900585889816284,0.37829736769199374,0.8968,10,0,10,0
13,17.51257085800171,0.3681072503328323,0.8983,10,0,10,0
14,17.29182481765747,0.3592756062746048,0.9006,10,0,10,0
15,16.9258713722229,0.351080858707428,0.9024,10,0,10,0
16,16.736958742141724,0.3443366289138794,0.9034,10,0,10,0
17,17.731138706207275,0.33813416957855225,0.9044,10,0,10,0
18,16.761099576950073,0.3328604161739349,0.9061,10,0,10,0
19,17.032455682754517,0.32774157226085665,0.9072,10,0,10,0
20,17.310888051986694,0.3229609400033951,0.9087,10,0,10,0
21,17.247122287750244,0.31886890828609465,0.9102,10,0,10,0
22,17.266595602035522,0.3150873988866806,0.9109,10,0,10,0
23,16.701257467269897,0.3112601310014725,0.9119,10,0,10,0
24,17.0697078704834,0.3078603297472,0.9128,10,0,10,0
25,16.655803442001343,0.3042921513319016,0.9142,10,0,10,0
26,17.456510066986084,0.30177220702171326,0.9152,10,0,10,0
27,16.871913194656372,0.29820387810468674,0.9156,10,0,10,0
28,17.308207273483276,0.2953462600708008,0.9159,10,0,10,0
29,17.76743245124817,0.2930680811405182,0.9169,10,0,10,0
30,17.388774871826172,0.29049486517906187,0.9181,10,0,10,0
31,17.091647148132324,0.28774796426296234,0.9183,10,0,10,0
32,16.901420831680298,0.28472840785980225,0.9194,10,0,10,0
33,17.61733841896057,0.2828133016824722,0.92,10,0,10,0
34,18.201911687850952,0.28043224215507506,0.9202,10,0,10,0
35,16.817657709121704,0.27803618758916854,0.9214,10,0,10,0
36,17.40356421470642,0.27584717571735384,0.9219,10,0,10,0
37,16.587379932403564,0.2733510613441467,0.9222,10,0,10,0
38,16.12122893333435,0.2712699756026268,0.9228,10,0,10,0
39,16.53452444076538,0.26934833228588106,0.9229,10,0,10,0
40,17.067987203598022,0.267281237244606,0.9239,10,0,10,0
41,16.845237016677856,0.2656430169939995,0.9248,10,0,10,0
42,17.019476413726807,0.263714137673378,0.9252,10,0,10,0
43,17.02491021156311,0.2614444732666016,0.9253,10,0,10,0
44,17.06073498725891,0.25939837098121643,0.9261,10,0,10,0
45,17.31737971305847,0.25774727314710616,0.9265,10,0,10,0
46,16.68830966949463,0.2560774087905884,0.927,10,0,10,0
47,16.73567271232605,0.2541238024830818,0.927,10,0,10,0
48,17.599186658859253,0.2520247593522072,0.9272,10,0,10,0
49,16.51857876777649,0.25040982067584994,0.928,10,0,10,0
50,16.41843318939209,0.24889035820960997,0.9281,10,0,10,0
