round,round_time_s,loss_mean,accuracy_mean,fit_clients,fit_failures,eval_clients,eval_failures
1,4.084418058395386,1.854571235179901,0.7096,8,0,10,0
2,2.533963203430176,1.2452486634254456,0.7904,10,0,10,0
3,2.9582231044769287,0.8712512254714966,0.8268,10,0,10,0
4,2.794856309890747,0.6868081867694855,0.8511,10,0,10,0
5,2.6862592697143555,0.5853654086589813,0.8656,10,0,10,0
6,2.5915749073028564,0.5214174926280976,0.8748,10,0,10,0
7,2.668657064437866,0.47763202488422396,0.8806,10,0,10,0
8,2.5202441215515137,0.44688063859939575,0.8848,10,0,10,0
9,2.5429091453552246,0.42239223420619965,0.8904,10,0,10,0
10,2.5029497146606445,0.40384902656078336,0.8936,10,0,10,0
11,2.6441380977630615,0.38885367214679717,0.8963,10,0,10,0
12,2.629345178604126,0.37660854756832124,0.8987,10,0,10,0
13,2.9736056327819824,0.3662817507982254,0.9009,10,0,10,0
14,2.662264108657837,0.3572657942771912,0.903,10,0,10,0
15,2.604921340942383,0.34913059771060945,0.9034,10,0,10,0
16,2.4790897369384766,0.34244061410427096,0.9051,10,0,10,0
17,2.471876859664917,0.3362096309661865,0.9058,10,0,10,0
18,2.4770126342773438,0.3304815709590912,0.9076,10,0,10,0
19,2.5398523807525635,0.3258483290672302,0.9084,10,0,10,0
20,2.506093978881836,0.321202290058136,0.9099,10,0,10,0
21,2.5378239154815674,0.31664671301841735,0.9102,10,0,10,0
22,2.5166893005371094,0.31289130747318267,0.9107,10,0,10,0
23,2.5221714973449707,0.3088377624750137,0.9126,10,0,10,0
24,2.500319480895996,0.30556094348430635,0.9133,10,0,10,0
25,2.525001287460327,0.30220926105976104,0.9146,10,0,10,0
26,2.4826161861419678,0.2989636495709419,0.9156,10,0,10,0
27,2.571125030517578,0.2959004729986191,0.9161,10,0,10,0
28,2.519819736480713,0.29315407425165174,0.917,10,0,10,0
29,2.558936834335327,0.29030776768922806,0.9175,10,0,10,0
30,2.6015615463256836,0.288072957098484,0.9189,10,0,10,0
31,3.5635032653808594,0.2855627954006195,0.92,10,0,10,0
32,3.7035086154937744,0.28271413743495943,0.9199,10,0,10,0
33,3.5501534938812256,0.28042593151330947,0.9209,10,0,10,0
34,4.081147909164429,0.27852039188146593,0.9211,10,0,10,0
35,3.2018582820892334,0.2759169042110443,0.9224,10,0,10,0
36,3.9995884895324707,0.2736029356718063,0.9229,10,0,10,0
37,3.4621334075927734,0.27134787738323213,0.9231,10,0,10,0
38,2.7422657012939453,0.2693149209022522,0.9243,10,0,10,0
39,2.952279806137085,0.2671551376581192,0.9251,10,0,10,0
40,3.1471095085144043,0.2653963565826416,0.9245,10,0,10,0
41,3.682684898376465,0.2632905185222626,0.9257,10,0,10,0
42,3.6007516384124756,0.26136817783117294,0.9259,10,0,10,0
43,3.2696826457977295,0.259339214861393,0.9263,10,0,10,0
44,3.2899727821350098,0.2576418831944466,0.9268,10,0,10,0
45,3.378726005554199,0.2558364599943161,0.9276,10,0,10,0
46,3.284156322479248,0.2544573426246643,0.9282,10,0,10,0
47,3.6258506774902344,0.2525196373462677,0.9285,10,0,10,0
48,3.863513231277466,0.2507802233099937,0.9285,10,0,10,0
49,3.276362419128418,0.24911883026361464,0.9289,10,0,10,0
50,3.1733202934265137,0.24734165370464326,0.9297,10,0,10,0
