round,round_time_s,loss_mean,accuracy_mean,fit_clients,fit_failures,eval_clients,eval_failures
1,39.064491748809814,1.865001454949379,0.698375,8,2,8,0
2,30.619017124176025,1.2560056298971176,0.78,8,0,8,0
3,23.890649557113647,0.8756206184625626,0.830625,8,0,8,0
4,22.740442752838135,0.6899237409234047,0.85275,8,0,8,0
5,27.94452452659607,0.5883191153407097,0.867375,8,0,8,0
6,29.78370761871338,0.5261748358607292,0.875875,8,0,8,0
7,30.931307077407837,0.48391953855752945,0.879875,8,0,8,0
8,20.36928391456604,0.4531177692115307,0.885375,8,0,8,0
9,40.427483797073364,0.4298510514199734,0.888875,8,0,8,0
10,31.161633014678955,0.4122382625937462,0.89175,8,0,8,0
11,26.762765884399414,0.39775556325912476,0.894375,8,0,8,0
12,25.362799406051636,0.38576583191752434,0.89575,8,0,8,0
13,41.6857123374939,0.37595970183610916,0.89825,8,0,8,0
14,23.803647756576538,0.3671969547867775,0.899375,8,0,8,0
15,26.110231161117554,0.35967760533094406,0.8995,8,0,8,0
16,31.173072814941406,0.35354819893836975,0.90075,8,0,8,0
17,28.16662859916687,0.347064808011055,0.901875,8,0,8,0
18,20.862534046173096,0.34172140061855316,0.904,8,0,8,0
19,44.24046993255615,0.3370034843683243,0.90625,8,0,8,0
20,27.213478803634644,0.3325304426252842,0.907375,8,0,8,0
21,19.888556718826294,0.32786619290709496,0.908375,8,0,8,0
22,21.253392219543457,0.32401877641677856,0.91,8,0,8,0
23,39.725302934646606,0.3201811797916889,0.91225,8,0,8,0
24,22.026092290878296,0.31620435044169426,0.913,8,0,8,0
25,22.594544172286987,0.3134140744805336,0.91325,8,0,8,0
26,20.768301486968994,0.311013899743557,0.914125,8,0,8,0
27,20.04187321662903,0.30758967995643616,0.91575,8,0,8,0
28,27.122949838638306,0.3044062554836273,0.91625,8,0,8,0
29,28.254807949066162,0.30157680436968803,0.91575,8,0,8,0
30,21.068222522735596,0.29889538139104843,0.9175,8,0,8,0
31,23.190351486206055,0.2966014966368675,0.91825,8,0,8,0
32,30.23997688293457,0.2939058281481266,0.91775,8,0,8,0
33,23.76884412765503,0.2914285287261009,0.919125,8,0,8,0
34,23.2748384475708,0.28962547332048416,0.919125,8,0,8,0
35,22.234713315963745,0.2868541330099106,0.9205,8,0,8,0
36,19.421812772750854,0.2846107967197895,0.919375,8,0,8,0
37,35.463871240615845,0.2828527092933655,0.92025,8,0,8,0
38,25.16855001449585,0.2802201025187969,0.92175,8,0,8,0
39,22.73053479194641,0.27799033373594284,0.923375,8,0,8,0
40,33.06625461578369,0.27573293820023537,0.923125,8,0,8,0
41,26.92610502243042,0.27455949410796165,0.923,8,0,8,0
42,43.0687301158905,0.27236125990748405,0.9245,8,0,8,0
43,36.5728497505188,0.27033024840056896,0.924375,8,0,8,0
44,25.67054843902588,0.26860224828124046,0.924875,8,0,8,0
45,21.78843092918396,0.26633607409894466,0.925375,8,0,8,0
46,33.538989543914795,0.26454376243054867,0.925625,8,0,8,0
47,44.636695861816406,0.262670673429966,0.92675,8,0,8,0
48,45.15927457809448,0.261176198720932,0.927125,8,0,8,0
49,33.16593027114868,0.25902557373046875,0.925875,8,0,8,0
50,26.327131509780884,0.2572908475995064,0.927875,8,0,8,0
