round,round_time_s,loss_mean,accuracy_mean,fit_clients,fit_failures,eval_clients,eval_failures
1,11.785820245742798,1.8378904342651368,0.7138,10,0,10,0
2,11.525736808776855,1.2233845829963683,0.7906,10,0,10,0
3,10.81506085395813,0.8602451682090759,0.8275,10,0,10,0
4,10.203626871109009,0.6812981724739074,0.8537,10,0,10,0
5,10.031881332397461,0.5809281885623931,0.8672,10,0,10,0
6,10.965090990066528,0.5179584980010986,0.8765,10,0,10,0
7,11.27664065361023,0.4749967724084854,0.8837,10,0,10,0
8,10.807151079177856,0.4434220790863037,0.8885,10,0,10,0
9,10.590869188308716,0.4204328149557114,0.8913,10,0,10,0
10,11.221883773803711,0.40229335725307463,0.8947,10,0,10,0
11,10.744272232055664,0.3876364499330521,0.8977,10,0,10,0
12,10.842265129089355,0.37574605345726014,0.8993,10,0,10,0
13,11.411231756210327,0.3653775304555893,0.9016,10,0,10,0
14,10.543763637542725,0.3567090928554535,0.9012,10,0,10,0
15,10.193018436431885,0.34927510619163515,0.9024,10,0,10,0
16,10.93814492225647,0.3425458997488022,0.9038,10,0,10,0
17,10.186115503311157,0.3367408663034439,0.9052,10,0,10,0
18,11.012196779251099,0.3313849538564682,0.9063,10,0,10,0
19,10.346041917800903,0.32662188708782197,0.9072,10,0,10,0
20,10.554786682128906,0.3219505548477173,0.908,10,0,10,0
21,10.560648918151855,0.31765890717506406,0.9092,10,0,10,0
22,10.607067584991455,0.3141929268836975,0.91,10,0,10,0
23,10.379788875579834,0.3104227066040039,0.9122,10,0,10,0
24,10.237730741500854,0.3072906270623207,0.9127,10,0,10,0
25,10.111157417297363,0.303656105697155,0.9156,10,0,10,0
26,10.542969942092896,0.30080307722091676,0.9161,10,0,10,0
27,11.027622699737549,0.29748245626688,0.9173,10,0,10,0
28,11.08182430267334,0.2946439817547798,0.918,10,0,10,0
29,10.847550630569458,0.29219644963741304,0.9187,10,0,10,0
30,10.89201807975769,0.2896269798278809,0.9191,10,0,10,0
31,10.741919755935669,0.28766879737377166,0.9193,10,0,10,0
32,10.293881177902222,0.28450940251350404,0.9208,10,0,10,0
33,10.654420852661133,0.2826702639460564,0.9209,10,0,10,0
34,10.461390018463135,0.28007871806621554,0.9221,10,0,10,0
35,10.828006029129028,0.27759666591882703,0.9226,10,0,10,0
36,10.3002028465271,0.2755752369761467,0.9229,10,0,10,0
37,11.248417854309082,0.27319321036338806,0.9237,10,0,10,0
38,10.440080404281616,0.27105569690465925,0.9236,10,0,10,0
39,10.157751560211182,0.2693482533097267,0.9244,10,0,10,0
40,10.348627805709839,0.26699723303318024,0.925,10,0,10,0
41,11.16254997253418,0.2652887016534805,0.9258,10,0,10,0
42,10.912978172302246,0.26311707198619844,0.9264,10,0,10,0
43,11.15719723701477,0.2610643431544304,0.9275,10,0,10,0
44,10.586105585098267,0.2593523845076561,0.9271,10,0,10,0
45,10.333890438079834,0.25778105705976484,0.9276,10,0,10,0
46,10.618243217468262,0.255902162194252,0.9279,10,0,10,0
47,10.98517394065857,0.2540582925081253,0.9287,10,0,10,0
48,10.54288125038147,0.252205590903759,0.9292,10,0,10,0
49,11.235719442367554,0.25029766410589216,0.9295,10,0,10,0
50,10.569520473480225,0.24883581548929215,0.9303,10,0,10,0
