round,round_time_s,loss_mean,accuracy_mean,fit_clients,fit_failures,eval_clients,eval_failures
1,2.666078805923462,1.8633610606193542,0.7139,8,0,10,0
2,2.8759076595306396,1.2583841681480408,0.7896,10,0,10,0
3,3.0576517581939697,0.879167115688324,0.8266,10,0,10,0
4,3.010040283203125,0.6919641137123108,0.8493,10,0,10,0
5,2.568598747253418,0.5886505663394928,0.8647,10,0,10,0
6,2.7939155101776123,0.5249321043491364,0.8741,10,0,10,0
7,3.175704002380371,0.48101746737957,0.8807,10,0,10,0
8,3.2607920169830322,0.4490733355283737,0.8863,10,0,10,0
9,2.9373300075531006,0.42536394000053407,0.8905,10,0,10,0
10,3.2244951725006104,0.4064855456352234,0.8934,10,0,10,0
11,3.0587005615234375,0.39116760790348054,0.8952,10,0,10,0
12,2.8698501586914062,0.3787438660860062,0.8973,10,0,10,0
13,2.793879270553589,0.36845824420452117,0.9,10,0,10,0
14,3.1548941135406494,0.35940719544887545,0.9006,10,0,10,0
15,2.8047990798950195,0.35219322741031645,0.9014,10,0,10,0
16,3.035301923751831,0.34481029510498046,0.9033,10,0,10,0
17,3.575967311859131,0.3388913422822952,0.905,10,0,10,0
18,3.2643513679504395,0.3331359148025513,0.9065,10,0,10,0
19,3.0558793544769287,0.328072988986969,0.9077,10,0,10,0
20,2.948017120361328,0.3234501928091049,0.9087,10,0,10,0
21,3.3020639419555664,0.3199826627969742,0.9104,10,0,10,0
22,2.812053918838501,0.315086629986763,0.9114,10,0,10,0
23,3.3012022972106934,0.3121768444776535,0.9116,10,0,10,0
24,3.363375663757324,0.30839568972587583,0.9134,10,0,10,0
25,2.7819955348968506,0.3051543951034546,0.9146,10,0,10,0
26,2.9391772747039795,0.3022091254591942,0.9154,10,0,10,0
27,2.81475567817688,0.2994107246398926,0.9159,10,0,10,0
28,2.8975982666015625,0.2971262693405151,0.9178,10,0,10,0
29,2.8645377159118652,0.2934833154082298,0.9176,10,0,10,0
30,2.919063091278076,0.29089945554733276,0.9184,10,0,10,0
31,3.1297850608825684,0.28925403356552126,0.9192,10,0,10,0
32,2.9245245456695557,0.2865231364965439,0.92,10,0,10,0
33,2.864170789718628,0.28388137370347977,0.9204,10,0,10,0
34,3.066545009613037,0.2815904304385185,0.921,10,0,10,0
35,3.5453152656555176,0.27955991923809054,0.921,10,0,10,0
36,3.553262233734131,0.2777937978506088,0.9227,10,0,10,0
37,3.309861421585083,0.2753611296415329,0.9229,10,0,10,0
38,3.2734014987945557,0.2731971561908722,0.9234,10,0,10,0
39,3.2176475524902344,0.2708477467298508,0.9244,10,0,10,0
40,3.1575675010681152,0.26871474981307986,0.9246,10,0,10,0
41,3.503446340560913,0.26688522547483445,0.9252,10,0,10,0
42,2.994093894958496,0.26483198553323745,0.9249,10,0,10,0
43,3.500727653503418,0.2633059620857239,0.9259,10,0,10,0
44,3.376004695892334,0.2610818982124329,0.926,10,0,10,0
45,3.4215259552001953,0.2594757527112961,0.9277,10,0,10,0
46,3.2821924686431885,0.25717629343271253,0.9282,10,0,10,0
47,3.385737419128418,0.2556560173630714,0.9278,10,0,10,0
48,3.520873546600342,0.2537967026233673,0.9281,10,0,10,0
49,3.238863229751587,0.2520324781537056,0.9285,10,0,10,0
50,3.173464059829712,0.25035604536533357,0.9296,10,0,10,0
