round,round_time_s,loss_mean,accuracy_mean,fit_clients,fit_failures,eval_clients,eval_failures
1,47.91029763221741,0.8718686997890472,0.8285,10,0,10,0
2,31.264134407043457,0.5246002674102783,0.8721,10,0,10,0
3,24.421887636184692,0.42494340538978576,0.8903,10,0,10,0
4,47.31653451919556,0.3780185341835022,0.8983,10,0,10,0
5,31.1947660446167,0.351101016998291,0.9028,10,0,10,0
6,24.19136667251587,0.33266322910785673,0.9073,10,0,10,0
7,42.560115337371826,0.31903203427791593,0.9104,10,0,10,0
8,38.55227518081665,0.30809968113899233,0.9125,10,0,10,0
9,41.52233290672302,0.2985700353980064,0.9161,10,0,10,0
10,34.11211347579956,0.29022433012723925,0.9189,10,0,10,0
11,37.923656702041626,0.2832840919494629,0.9214,10,0,10,0
12,26.18509531021118,0.27673030346632005,0.9223,10,0,10,0
13,44.094141244888306,0.27059712558984755,0.9247,10,0,10,0
14,26.28444194793701,0.2644041135907173,0.9261,10,0,10,0
15,30.03529977798462,0.2587187275290489,0.9281,10,0,10,0
16,31.828963041305542,0.25368199944496156,0.9286,10,0,10,0
17,28.003562211990356,0.2486804023385048,0.93,10,0,10,0
18,45.14212894439697,0.24384787678718567,0.9314,10,0,10,0
19,25.938029289245605,0.23894307166337966,0.9325,10,0,10,0
20,46.84114217758179,0.23518350422382356,0.9333,10,0,10,0
21,44.50498867034912,0.23031942844390868,0.935,10,0,10,0
22,52.80839824676514,0.22639153748750687,0.9354,10,0,10,0
23,31.02998399734497,0.22208347022533417,0.9367,10,0,10,0
24,68.68223452568054,0.21814901977777482,0.9375,10,0,10,0
25,36.063032388687134,0.21449491679668425,0.938,10,0,10,0
26,33.72640872001648,0.2107477828860283,0.9396,10,0,10,0
27,46.09925389289856,0.20740700513124466,0.9407,10,0,10,0
28,28.658413648605347,0.20373396724462509,0.9412,10,0,10,0
29,38.47494316101074,0.2006846010684967,0.9418,10,0,10,0
30,42.65401291847229,0.1973705545067787,0.9429,10,0,10,0
31,43.825844287872314,0.19423409551382065,0.9435,10,0,10,0
32,46.31741142272949,0.1914902314543724,0.9442,10,0,10,0
33,31.419163703918457,0.1883702829480171,0.9448,10,0,10,0
34,32.721466064453125,0.18591473400592803,0.9461,10,0,10,0
35,33.38798785209656,0.18311916589736937,0.9468,10,0,10,0
36,24.215564012527466,0.1805547446012497,0.9476,10,0,10,0
37,38.108790159225464,0.17778096348047256,0.9478,10,0,10,0
38,39.83986234664917,0.17539388686418533,0.9492,10,0,10,0
39,27.136799097061157,0.17318956553936005,0.9499,10,0,10,0
40,25.911922931671143,0.17054268419742585,0.9506,10,0,10,0
41,40.13236713409424,0.16852010786533356,0.9509,10,0,10,0
42,31.95502781867981,0.16642044112086296,0.9508,10,0,10,0
43,44.7199923992157,0.16417460590600969,0.9517,10,0,10,0
44,24.259055852890015,0.16246050894260405,0.9524,10,0,10,0
45,25.55498218536377,0.16025299578905106,0.9528,10,0,10,0
46,28.16796088218689,0.15834920331835747,0.9536,10,0,10,0
47,28.185859203338623,0.15662307292222977,0.9541,10,0,10,0
48,28.987685680389404,0.15458055287599565,0.9542,10,0,10,0
49,29.700082778930664,0.15277501791715623,0.9553,10,0,10,0
50,46.49997901916504,0.15115346536040306,0.9557,10,0,10,0
